times,agents,alg,range
0.245886,3,dfs,100
77.6765,3,dfs,100
0.35773,3,dfs,100
5.64174,3,dfs,100
0.510731,3,dfs,100
0.751022,3,dfs,100
0.233315,3,dfs,100
0.30388,3,dfs,100
0.275187,3,dfs,100
300.0,3,astar,100
0.32985,3,astar,100
300.0,3,astar,100
0.242106,3,astar,100
0.253105,3,astar,100
300.0,3,astar,100
0.245505,3,astar,100
0.289458,3,astar,100
87.0507,3,astar,100
230.981,3,astar,100
0.265191,3,astar,100
0.264423,3,astar,100
300.0,3,astar,100
300.0,3,astar,100
300.0,3,astar,100
0.267111,3,astar,100
300.0,3,astar,100
300.0,3,astar,100
300.0,3,astar,100
0.241178,3,astar,100
0.260973,3,astar,100
300.0,3,astar,100
300.0,3,astar,100
0.226026,3,astar,100
0.517466,3,astar,100
0.345238,3,astar,100
0.258033,3,astar,100
0.986312,3,astar,100
0.35117,3,astar,100
0.277994,3,astar,100
300.0,3,astar,100
0.286021,3,astar,100
0.28902,3,astar,100
24.8181,3,astar,100
1.37237,3,astar,100
0.278338,3,astar,100
0.287097,3,astar,100
300.0,3,astar,100
0.269834,3,astar,100
0.25854,3,astar,100
300.0,3,astar,100
0.300519,3,astar,100
300.0,3,astar,100
0.384811,3,astar,100
300.0,3,astar,100
1.51786,3,astar,100
104.436,3,astar,100
0.333666,3,astar,100
0.319933,3,astar,100
0.301893,3,astar,100
2.55701,3,birk,150
300.0,3,birk,150
5.93219,3,birk,150
5.03377,3,birk,150
6.63977,3,birk,150
300.0,3,birk,150
300.0,3,birk,150
6.7971,3,birk,150
2.88037,3,birk,150
3.98136,3,birk,150
2.62117,3,birk,150
5.34325,3,birk,150
5.39445,3,birk,150
4.33757,3,birk,150
7.21594,3,birk,150
4.85407,3,birk,150
1.8611,3,birk,150
5.28335,3,birk,150
2.48703,3,birk,150
3.60217,3,birk,150
3.86412,3,birk,150
300.0,3,birk,150
2.08642,3,birk,150
2.55283,3,birk,150
7.64393,3,birk,150
2.29042,3,birk,150
300.0,3,birk,150
2.32614,3,birk,150
2.62975,3,birk,150
4.7408,3,birk,150
3.82687,3,birk,150
4.5139,3,birk,150
2.92044,3,birk,150
300.0,3,birk,150
3.73967,3,birk,150
3.84648,3,birk,150
3.46567,3,birk,150
3.1325,3,birk,150
4.2429,3,birk,150
3.7226,3,birk,150
300.0,3,birk,150
1.45491,3,birk,150
2.63295,3,birk,150
5.76475,3,birk,150
5.19876,3,birk,150
5.01646,3,birk,150
4.15871,3,birk,150
5.60608,3,birk,150
300.0,3,birk,150
4.41885,3,birk,150
0.164422,3,dfs,150
0.489363,3,dfs,150
0.172367,3,dfs,150
0.388403,3,dfs,150
0.199814,3,dfs,150
0.416754,3,dfs,150
0.350721,3,dfs,150
0.123197,3,dfs,150
0.0915875,3,dfs,150
0.0966447,3,dfs,150
0.0616826,3,dfs,150
0.108787,3,dfs,150
0.639078,3,dfs,150
0.0997735,3,dfs,150
0.132714,3,dfs,150
0.173685,3,dfs,150
0.0794434,3,dfs,150
0.16947,3,dfs,150
0.118074,3,dfs,150
0.0883748,3,dfs,150
0.105551,3,dfs,150
0.510039,3,dfs,150
0.0782001,3,dfs,150
0.073334,3,dfs,150
0.210544,3,dfs,150
0.145548,3,dfs,150
0.13058,3,dfs,150
0.0684651,3,dfs,150
0.109382,3,dfs,150
0.147623,3,dfs,150
0.0812877,3,dfs,150
0.246136,3,dfs,150
0.0776529,3,dfs,150
2.49401,3,dfs,150
0.110332,3,dfs,150
0.13153,3,dfs,150
0.159035,3,dfs,150
0.0675641,3,dfs,150
0.12282,3,dfs,150
0.102296,3,dfs,150
0.113243,3,dfs,150
0.0396941,3,dfs,150
0.0826295,3,dfs,150
0.109537,3,dfs,150
1.45607,3,dfs,150
0.142456,3,dfs,150
0.111758,3,dfs,150
0.126316,3,dfs,150
0.16903,3,dfs,150
0.122971,3,dfs,150
0.138776,3,astar,150
0.52338,3,astar,150
0.165431,3,astar,150
300.0,3,astar,150
0.152605,3,astar,150
300.0,3,astar,150
0.471815,3,astar,150
0.126105,3,astar,150
0.093747,3,astar,150
0.101883,3,astar,150
0.062652,3,astar,150
0.109048,3,astar,150
13.4894,3,astar,150
0.101422,3,astar,150
0.136685,3,astar,150
0.351936,3,astar,150
0.0619192,3,astar,150
0.149024,3,astar,150
0.112279,3,astar,150
0.0879993,3,astar,150
0.10952,3,astar,150
1.43172,3,astar,150
0.0760801,3,astar,150
0.0790946,3,astar,150
0.21793,3,astar,150
300.0,3,astar,150
0.122895,3,astar,150
0.098214,3,astar,150
0.109647,3,astar,150
0.147507,3,astar,150
0.0834286,3,astar,150
18.9823,3,astar,150
0.0733386,3,astar,150
300.0,3,astar,150
0.0993003,3,astar,150
0.114339,3,astar,150
0.152511,3,astar,150
0.0684267,3,astar,150
0.110114,3,astar,150
0.093608,3,astar,150
0.113031,3,astar,150
0.0396111,3,astar,150
0.0877562,3,astar,150
0.116211,3,astar,150
112.182,3,astar,150
0.147476,3,astar,150
0.116426,3,astar,150
0.130953,3,astar,150
0.175155,3,astar,150
0.119407,3,astar,150
6.42148,4,birk,50
7.48756,4,birk,50
300.0,4,birk,50
3.66575,4,birk,50
300.0,4,birk,50
300.0,4,birk,50
3.85576,4,birk,50
300.0,4,birk,50
7.56984,4,birk,50
7.57189,4,birk,50
9.38951,4,birk,50
300.0,4,birk,50
300.0,4,birk,50
300.0,4,birk,50
10.3281,4,birk,50
300.0,4,birk,50
8.33299,4,birk,50
2.5646,4,birk,50
300.0,4,birk,50
5.54072,4,birk,50
3.83385,4,birk,50
9.98567,4,birk,50
7.20772,4,birk,50
300.0,4,birk,50
5.1509,4,birk,50
5.22956,4,birk,50
8.59799,4,birk,50
8.245,4,birk,50
8.53495,4,birk,50
9.46398,4,birk,50
5.44129,4,birk,50
300.0,4,birk,50
300.0,4,birk,50
10.2026,4,birk,50
5.34258,4,birk,50
4.90391,4,birk,50
7.0773,4,birk,50
2.66504,4,birk,50
8.5943,4,birk,50
300.0,4,birk,50
6.63451,4,birk,50
300.0,4,birk,50
6.09712,4,birk,50
10.97,4,birk,50
6.43262,4,birk,50
5.0465,4,birk,50
7.03708,4,birk,50
3.69815,4,birk,50
300.0,4,birk,50
5.39723,4,birk,50
5.78515,4,dfs,50
0.0954737,4,dfs,50
0.108896,4,dfs,50
0.0789516,4,dfs,50
7.86672,4,dfs,50
0.840814,4,dfs,50
